N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
7266	SC064	-121.87990	36.95050	-121.89802	36.93792	-15.00	229.02	2
7267	SC065	-121.88130	36.95190	-121.89878	36.93828	-15.00	225.73	1
7268	SC066	-121.88290	36.95310	-121.89878	36.93828	-15.00	220.58	1
7269	SC067	-121.88470	36.95420	-121.90041	36.93951	-15.00	220.52	1
7270	SC068	-121.88640	36.95540	-121.90325	36.94146	-15.00	224.01	1
7271	SC069	-121.88790	36.95670	-121.90582	36.94335	-15.00	227.01	2
7272	SC070	-121.88930	36.95810	-121.90640	36.94385	-15.00	223.80	1
7273	SC071	-121.89110	36.95920	-121.90750	36.94490	-15.01	222.51	2
7274	SC072	-121.89270	36.96040	-121.91022	36.94615	-15.00	224.50	1
7275	SC073	-121.89430	36.96170	-121.91167	36.94682	-15.02	223.01	1
7276	SC074	-121.89600	36.96290	-121.91321	36.94816	-15.00	223.02	1
7277	SC075	-121.89760	36.96420	-121.91502	36.94872	-15.00	221.97	1
7278	SC076	-121.89930	36.96530	-121.91535	36.94889	-15.00	218.01	1
7279	SC077	-121.90120	36.96640	-121.91638	36.94939	-15.00	215.50	1
7280	SC078	-121.90300	36.96740	-121.91697	36.94968	-15.00	212.21	1
7281	SC079	-121.90490	36.96830	-121.91697	36.94968	-15.00	207.39	1
7282	SC080	-121.90700	36.96910	-121.91953	36.95066	-15.00	208.50	1
7283	SC081	-121.90890	36.97000	-121.92233	36.95141	-15.00	210.00	1
7284	SC082	-121.91090	36.97090	-121.92321	36.95200	-15.00	207.50	1
7285	SC083	-121.91290	36.97170	-121.92535	36.95260	-15.00	207.52	1
7286	SC084	-121.91480	36.97250	-121.92734	36.95285	-15.00	207.02	1
7287	SC085	-121.91680	36.97330	-121.92912	36.95312	-15.00	206.01	1
7288	SC086	-121.91890	36.97410	-121.93124	36.95296	-15.00	205.01	2
7289	SC087	-121.92090	36.97490	-121.93179	36.95299	-15.00	201.66	2
7290	SC088	-121.92290	36.97560	-121.93179	36.95299	-15.00	197.44	2
7291	SC089	-121.92500	36.97640	-121.93179	36.95299	-15.00	193.05	2
7292	SC090	-121.92710	36.97700	-121.93179	36.95299	-15.00	188.87	2
7293	SC091	-121.92930	36.97750	-121.93179	36.95299	-15.00	184.64	2
7294	SC092	-121.93140	36.97790	-121.93179	36.95299	-15.00	180.72	2
7295	SC093	-121.93360	36.97840	-121.93179	36.95299	-15.00	176.74	2
7296	SC094	-121.93580	36.97860	-121.93179	36.95299	-15.00	172.87	2
7297	SC095	-121.93800	36.97850	-121.93179	36.95299	-15.00	168.99	2
7298	SC096	-121.94010	36.97780	-121.93179	36.95299	-15.00	165.02	2
7299	SC097	-121.94190	36.97670	-121.93179	36.95299	-15.00	161.18	2
7300	SC098	-121.94350	36.97550	-121.93179	36.95299	-15.00	157.43	2
7301	SC099	-121.94510	36.97430	-121.93179	36.95299	-15.00	153.47	2
7302	SC100	-121.94700	36.97330	-121.93179	36.95299	-15.00	149.10	2
7303	SC101	-121.94880	36.97220	-121.93478	36.95319	-15.00	149.49	1
7304	SC102	-121.95090	36.97160	-121.93729	36.95334	-15.00	149.22	2
7305	SC103	-121.95290	36.97150	-121.93729	36.95334	-15.00	145.51	2
7306	SC104	-121.95470	36.97040	-121.93729	36.95334	-15.00	140.80	2
7307	SC105	-121.95600	36.96900	-121.93729	36.95334	-15.00	136.33	2
7308	SC106	-121.95730	36.96770	-121.93729	36.95334	-15.00	131.92	2
7309	SC107	-121.95810	36.96620	-121.94083	36.95333	-15.02	133.00	2
7310	SC108	-121.96010	36.96540	-121.94368	36.95341	-15.00	132.42	1
7311	SC109	-121.96090	36.96380	-121.94433	36.95345	-15.00	128.01	1
7312	SC110	-121.96260	36.96270	-121.94433	36.95345	-15.00	122.36	1
7313	SC111	-121.96310	36.96110	-121.95045	36.95277	-15.00	129.49	2
7314	SC112	-121.96470	36.95990	-121.95627	36.95173	-15.00	140.49	2
7315	SC113	-121.96640	36.95890	-121.95966	36.95045	-15.00	147.49	1
7316	SC114	-121.96840	36.95800	-121.96111	36.94983	-15.00	144.51	2
7317	SC115	-121.97010	36.95690	-121.96111	36.94983	-15.00	134.54	1
7318	SC116	-121.97150	36.95560	-121.96333	36.94873	-15.03	136.46	1
7319	SC117	-121.97310	36.95460	-121.96892	36.94633	-15.00	158.00	2
7320	SC118	-121.97540	36.95440	-121.97758	36.94450	-15.00	189.98	1
7321	SC119	-121.97720	36.95520	-121.98687	36.94308	-15.00	212.52	2
7322	SC120	-121.97890	36.95620	-121.98953	36.94384	-15.00	214.50	1
7323	SC121	-121.98080	36.95720	-121.98969	36.94387	-15.00	208.06	2
7324	SC122	-121.98260	36.95830	-121.98969	36.94387	-15.00	201.44	2
7325	SC123	-121.98350	36.95980	-121.98969	36.94387	-15.00	197.25	2
7326	SC124	-121.98550	36.96020	-121.98969	36.94387	-15.00	191.59	1
7327	SC125	-121.98770	36.96010	-121.98969	36.94387	-15.00	185.60	2
7328	SC126	-121.98990	36.95980	-121.98969	36.94387	-15.00	179.40	2
7329	SC127	-121.99180	36.95890	-121.99641	36.94561	-15.00	195.49	2
7330	SC128	-121.99310	36.95960	-122.00323	36.94760	-15.00	214.01	2
7331	SC129	-121.99460	36.96050	-122.00397	36.94765	-15.00	210.23	1
7332	SC130	-121.99660	36.96120	-122.00476	36.94782	-15.00	205.98	2
7333	SC131	-121.99830	36.96220	-122.00549	36.94784	-15.00	201.81	2
7334	SC132	-122.00050	36.96270	-122.00549	36.94784	-15.00	195.02	0
7335	SC133	-122.00270	36.96290	-122.00637	36.94780	-15.00	190.99	0
7336	SC134	-122.00490	36.96320	-122.00674	36.94773	-15.00	185.43	2
7337	SC135	-122.00710	36.96360	-122.00674	36.94773	-15.00	178.96	2
7338	SC136	-122.00930	36.96380	-122.00674	36.94773	-15.00	172.74	2
7339	SC137	-122.01160	36.96380	-122.00674	36.94773	-15.00	166.41	2
7340	SC138	-122.01380	36.96410	-122.00674	36.94773	-15.00	160.98	2
7341	SC139	-122.01600	36.96400	-122.00674	36.94773	-15.00	155.54	2
7342	SC140	-122.01820	36.96370	-122.00674	36.94773	-15.00	150.17	2
7343	SC141	-122.02040	36.96320	-122.00674	36.94773	-15.00	144.79	2
